aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
brk-b	1067983
nvda	1045810
fb	1326801
tsm	1046179
unh	731766
jnj	200406
jpm	19617
spy	884394
wmt	104169
pg	80424
lvmuy	824046
ma	1141391
bac	70858
xom	34088
hd	354950
baba	1577552
cvx	93410
pfe	78003
asml	937966
abbv	1551152
lly	59478
ko	21344
avgo	1730168
dis	1744489
tm	1094517
cost	909832
nvo	353278
csco	858877
tmo	97745
pep	77476
orcl	1341439
adbe	796343
nke	320187
cmcsa	1166691
crm	1108524
acn	1467373
vz	732712
intc	50863
abt	1800
dhr	313616
mrk	310158
wfc	72971
azn	901832
nvs	1114448
ups	1090727
bhp	811809
asti	1350102
mcd	63908
qcom	804328
txn	97476
unp	100885
nflx	1065280
schw	316709
t	732717
lin	1707925
nee	753308
ms	895421
bmy	14272
tmus	1283699
ry	1000275
ptr	1108329
rtx	101829
mdt	1613103
amd	2488
td	947263
low	60667
axp	4962
qqq	1067839
pm	1413329
pypl	1633917
hsbc	1089113
cvs	64803
intu	896878
hon	773840
sap	1000184
amgn	318154
tte	879764
cop	1163165
sony	313838
rtntf	887028
sny	1121404
rio	863064
de	315189
amat	6951
pld	1045609
lmt	936468
deo	835403
cat	18230
antm	1156039
now	1373715
ul	217410
eqnr	1140625
ibm	51143
blk	1364742
hdb	1144967
amt	1053507
ba	12927
gs	886982
abnb	1559720
c	831001
cnttq	1652499
gsk	1131399
bud	1668717
isrg	1035267
infy	1067491
tgt	27419
ge	40545
jd	1549802
syk	310764
chtr	1091667
el	1001250
spgi	64040
eadsy	1378580
bkng	1075531
bp	313807
bti	1303523
lfc	1268896
vale	917851
cni	16868
mo	764180
adp	8670
pbr	1119639
bx	1393818
enb	895728
shop	1594805
cb	896159
mu	723125
bam	1001085
zts	1555280
bns	9631
adi	6281
mdlz	1103982
mmm	66740
mmc	62709
cme	1156375
mufg	67088
duk	1326160
usb	36104
glncy	1524684
csx	277948
pnc	713676
hca	860730
tfc	92230
ci	1739940
lrcx	707549
cci	1051470
dmlry	1067318
team	1650372
snp	1123658
sftby	1065521
bmo	927971
bdx	10795
tjx	109198
cp	16875
so	92122
gild	882095
regn	872589
ice	1571949
idexy	1438656
fcx	831259
snow	1640147
mrna	1682852
cnq	1017413
ew	1099800
uber	1543151
aon	315293
se	1703399
f	37996
eog	821189
noc	1133421
cta-pa	30554
psa	1393311
nsc	702165
enlay	1096200
d	715957
eqix	1101239
itw	49826
fisv	798354
shw	89800
pgr	80661
ubs	1610520
sq	1512673
gd	40533
pbcry	1463157
gm	1467858
amx	1129137
ibn	1103838
wm	823768
vrtx	875320
abb	1091587
atlky	748954
ntes	1110646
mrvl	1835632
cl	21665
bsx	885725
meli	1099590
fdx	1048911
mco	1059556
etn	1551182
atvi	718877
nem	1164727
fis	1136893
pxd	1038357
wday	1327811
snap	1564408
panw	1327567
relx	929869
san	891478
met	1099219
slb	87347
scco	1001838
emr	32604
klac	319201
mar	1048286
ntr	1725964
cof	927628
bsbr	1471055
trp	1232384
ftnt	1262039
itub	1132597
hum	49071
cm	1045520
chgcy	1453934
epd	1061219
race	1648416
ilmn	1110803
apd	2969
prndy	899108
pdd	1737806
ngg	1004315
kdp	1418135
rbgly	1420798
coin	1679788
stla	1605484
oxy	797468
dg	29534
